# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.ECDSABenchmark.benchmarkKeyGeneration

# Run progress: 0.00% complete, ETA 02:05:00
# Fork: 1 of 5
# Warmup Iteration   1: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁵ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁶ ops/ns
Iteration   1: ≈ 10⁻⁶ ops/ns
Iteration   2: ≈ 10⁻⁶ ops/ns
Iteration   3: ≈ 10⁻⁶ ops/ns
Iteration   4: ≈ 10⁻⁶ ops/ns
Iteration   5: ≈ 10⁻⁶ ops/ns

# Run progress: 14.67% complete, ETA 01:46:58
# Fork: 2 of 5
# Warmup Iteration   1: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁶ ops/ns
Iteration   1: ≈ 10⁻⁶ ops/ns
Iteration   2: ≈ 10⁻⁶ ops/ns
Iteration   3: ≈ 10⁻⁶ ops/ns
Iteration   4: ≈ 10⁻⁶ ops/ns
Iteration   5: ≈ 10⁻⁶ ops/ns

# Run progress: 16.00% complete, ETA 01:45:17
# Fork: 3 of 5
# Warmup Iteration   1: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁶ ops/ns
Iteration   1: ≈ 10⁻⁶ ops/ns
Iteration   2: ≈ 10⁻⁶ ops/ns
Iteration   3: ≈ 10⁻⁶ ops/ns
Iteration   4: ≈ 10⁻⁶ ops/ns
Iteration   5: ≈ 10⁻⁶ ops/ns

# Run progress: 17.33% complete, ETA 01:43:36
# Fork: 4 of 5
# Warmup Iteration   1: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁶ ops/ns
Iteration   1: ≈ 10⁻⁶ ops/ns
Iteration   2: ≈ 10⁻⁶ ops/ns
Iteration   3: ≈ 10⁻⁶ ops/ns
Iteration   4: ≈ 10⁻⁶ ops/ns
Iteration   5: ≈ 10⁻⁶ ops/ns

# Run progress: 18.67% complete, ETA 01:41:56
# Fork: 5 of 5
# Warmup Iteration   1: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   2: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   3: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   4: ≈ 10⁻⁶ ops/ns
# Warmup Iteration   5: ≈ 10⁻⁶ ops/ns
Iteration   1: ≈ 10⁻⁶ ops/ns
Iteration   2: ≈ 10⁻⁶ ops/ns
Iteration   3: ≈ 10⁻⁶ ops/ns
Iteration   4: ≈ 10⁻⁶ ops/ns
Iteration   5: ≈ 10⁻⁶ ops/ns


Result "org.sample.ECDSABenchmark.benchmarkVerification":
  ≈ 10⁻⁶ ops/ns


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.ECDSABenchmark.measureCpuUsage

# Run progress: 20.00% complete, ETA 01:40:15
# Fork: 1 of 5
# Warmup Iteration   1: ≈ 10⁻⁴ ops/ns
# Warmup Iteration   2: ≈ 10⁻³ ops/ns
# Warmup Iteration   3: ≈ 10⁻³ ops/ns
# Warmup Iteration   4: ≈ 10⁻³ ops/ns
# Warmup Iteration   5: ≈ 10⁻³ ops/ns
Iteration   1: ≈ 10⁻³ ops/ns
Iteration   2: ≈ 10⁻³ ops/ns
Iteration   3: ≈ 10⁻³ ops/ns
Iteration   4: ≈ 10⁻³ ops/ns
Iteration   5: ≈ 10⁻³ ops/ns

# Run progress: 21.33% complete, ETA 01:38:34
# Fork: 2 of 5
# Warmup Iteration   1: ≈ 10⁻⁴ ops/ns
# Warmup Iteration   2: ≈ 10⁻³ ops/ns
# Warmup Iteration   3: ≈ 10⁻³ ops/ns
# Warmup Iteration   4: ≈ 10⁻³ ops/ns
# Warmup Iteration   5: ≈ 10⁻³ ops/ns
Iteration   1: ≈ 10⁻³ ops/ns
Iteration   2: ≈ 10⁻³ ops/ns
Iteration   3: ≈ 10⁻³ ops/ns
Iteration   4: ≈ 10⁻³ ops/ns
Iteration   5: ≈ 10⁻³ ops/ns

# Run progress: 22.67% complete, ETA 01:36:54
# Fork: 3 of 5
# Warmup Iteration   1: ≈ 10⁻⁴ ops/ns
# Warmup Iteration   2: ≈ 10⁻³ ops/ns
# Warmup Iteration   3: ≈ 10⁻³ ops/ns
# Warmup Iteration   4: ≈ 10⁻³ ops/ns
# Warmup Iteration   5: ≈ 10⁻³ ops/ns
Iteration   1: ≈ 10⁻³ ops/ns
Iteration   2: ≈ 10⁻³ ops/ns
Iteration   3: ≈ 10⁻³ ops/ns
Iteration   4: ≈ 10⁻³ ops/ns
Iteration   5: ≈ 10⁻³ ops/ns

# Run progress: 24.00% complete, ETA 01:35:14
# Fork: 4 of 5
# Warmup Iteration   1: ≈ 10⁻⁴ ops/ns
# Warmup Iteration   2: ≈ 10⁻³ ops/ns
# Warmup Iteration   3: ≈ 10⁻³ ops/ns
# Warmup Iteration   4: ≈ 10⁻³ ops/ns
# Warmup Iteration   5: ≈ 10⁻³ ops/ns
Iteration   1: ≈ 10⁻³ ops/ns
Iteration   2: ≈ 10⁻³ ops/ns
Iteration   3: ≈ 10⁻³ ops/ns
Iteration   4: ≈ 10⁻³ ops/ns
Iteration   5: ≈ 10⁻³ ops/ns

# Run progress: 25.33% complete, ETA 01:33:33
# Fork: 5 of 5
# Warmup Iteration   1: ≈ 10⁻⁴ ops/ns
# Warmup Iteration   2: ≈ 10⁻³ ops/ns
# Warmup Iteration   3: ≈ 10⁻³ ops/ns
# Warmup Iteration   4: ≈ 10⁻³ ops/ns
# Warmup Iteration   5: ≈ 10⁻³ ops/ns
Iteration   1: ≈ 10⁻³ ops/ns
Iteration   2: ≈ 10⁻³ ops/ns
Iteration   3: ≈ 10⁻³ ops/ns
Iteration   4: ≈ 10⁻³ ops/ns
Iteration   5: ≈ 10⁻³ ops/ns


Result "org.sample.ECDSABenchmark.measureCpuUsage":
  ≈ 10⁻³ ops/ns


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.ECDSABenchmark.measureMemoryUsage

# Run progress: 26.67% complete, ETA 01:31:53
# Fork: 1 of 5
# Warmup Iteration   1: ≈ 10⁻⁴ ops/ns
# Warmup Iteration   2: ≈ 10⁻³ ops/ns
# Warmup Iteration   3: ≈ 10⁻³ ops/ns
# Warmup Iteration   4: ≈ 10⁻³ ops/ns
# Warmup Iteration   5: ≈ 10⁻³ ops/ns
Iteration   1: ≈ 10⁻³ ops/ns
Iteration   2: ≈ 10⁻³ ops/ns
Iteration   3: ≈ 10⁻³ ops/ns
Iteration   4: ≈ 10⁻³ ops/ns
Iteration   5: ≈ 10⁻³ ops/ns

# Run progress: 28.00% complete, ETA 01:30:12
# Fork: 2 of 5
# Warmup Iteration   1: ≈ 10⁻⁴ ops/ns
# Warmup Iteration   2: ≈ 10⁻³ ops/ns
# Warmup Iteration   3: ≈ 10⁻³ ops/ns
# Warmup Iteration   4: ≈ 10⁻³ ops/ns
# Warmup Iteration   5: ≈ 10⁻³ ops/ns
Iteration   1: ≈ 10⁻³ ops/ns
Iteration   2: ≈ 10⁻³ ops/ns
Iteration   3: ≈ 10⁻³ ops/ns
Iteration   4: ≈ 10⁻³ ops/ns
Iteration   5: ≈ 10⁻³ ops/ns

# Run progress: 29.33% complete, ETA 01:28:32
# Fork: 3 of 5
# Warmup Iteration   1: ≈ 10⁻⁴ ops/ns
# Warmup Iteration   2: ≈ 10⁻³ ops/ns
# Warmup Iteration   3: ≈ 10⁻³ ops/ns
# Warmup Iteration   4: ≈ 10⁻³ ops/ns
# Warmup Iteration   5: ≈ 10⁻³ ops/ns
Iteration   1: ≈ 10⁻⁴ ops/ns
Iteration   2: ≈ 10⁻⁴ ops/ns
Iteration   3: ≈ 10⁻⁴ ops/ns
Iteration   4: ≈ 10⁻³ ops/ns
Iteration   5: ≈ 10⁻³ ops/ns

# Run progress: 30.67% complete, ETA 01:26:52
# Fork: 4 of 5
# Warmup Iteration   1: ≈ 10⁻⁴ ops/ns
# Warmup Iteration   2: ≈ 10⁻³ ops/ns
# Warmup Iteration   3: ≈ 10⁻³ ops/ns
# Warmup Iteration   4: ≈ 10⁻³ ops/ns
# Warmup Iteration   5: ≈ 10⁻³ ops/ns
Iteration   1: ≈ 10⁻³ ops/ns
Iteration   2: ≈ 10⁻³ ops/ns
Iteration   3: ≈ 10⁻³ ops/ns
Iteration   4: ≈ 10⁻³ ops/ns
Iteration   5: ≈ 10⁻³ ops/ns

# Run progress: 32.00% complete, ETA 01:25:11
# Fork: 5 of 5
# Warmup Iteration   1: ≈ 10⁻⁴ ops/ns
# Warmup Iteration   2: ≈ 10⁻³ ops/ns
# Warmup Iteration   3: ≈ 10⁻³ ops/ns
# Warmup Iteration   4: ≈ 10⁻³ ops/ns
# Warmup Iteration   5: ≈ 10⁻³ ops/ns
Iteration   1: ≈ 10⁻³ ops/ns
Iteration   2: ≈ 10⁻³ ops/ns
Iteration   3: ≈ 10⁻³ ops/ns
Iteration   4: ≈ 10⁻³ ops/ns
Iteration   5: ≈ 10⁻³ ops/ns


Result "org.sample.ECDSABenchmark.measureMemoryUsage":
  ≈ 10⁻³ ops/ns


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkKeyGeneration

# Run progress: 33.33% complete, ETA 01:23:31
# Fork: 1 of 5
# Warmup Iteration   1: 67827.504 ns/op
# Warmup Iteration   2: 63625.355 ns/op
# Warmup Iteration   3: 62775.822 ns/op
# Warmup Iteration   4: 63608.187 ns/op
# Warmup Iteration   5: 62120.328 ns/op
Iteration   1: 61503.062 ns/op
Iteration   2: 62217.044 ns/op
Iteration   3: 61719.043 ns/op
Iteration   4: 61317.520 ns/op
Iteration   5: 61868.441 ns/op

# Run progress: 34.67% complete, ETA 01:21:51
# Fork: 2 of 5
# Warmup Iteration   1: 65982.170 ns/op
# Warmup Iteration   2: 60582.545 ns/op
# Warmup Iteration   3: 59900.893 ns/op
# Warmup Iteration   4: 59672.932 ns/op
# Warmup Iteration   5: 60077.092 ns/op
Iteration   1: 59826.699 ns/op
Iteration   2: 60035.703 ns/op
Iteration   3: 61418.498 ns/op
Iteration   4: 63003.308 ns/op
Iteration   5: 60163.372 ns/op

# Run progress: 36.00% complete, ETA 01:20:10
# Fork: 3 of 5
# Warmup Iteration   1: 67778.513 ns/op
# Warmup Iteration   2: 61714.123 ns/op
# Warmup Iteration   3: 60602.022 ns/op
# Warmup Iteration   4: 60604.307 ns/op
# Warmup Iteration   5: 60504.422 ns/op
Iteration   1: 60383.591 ns/op
Iteration   2: 60747.946 ns/op
Iteration   3: 60498.597 ns/op
Iteration   4: 60935.320 ns/op
Iteration   5: 60486.143 ns/op

# Run progress: 37.33% complete, ETA 01:18:30
# Fork: 4 of 5
# Warmup Iteration   1: 66709.402 ns/op
# Warmup Iteration   2: 61673.526 ns/op
# Warmup Iteration   3: 60528.295 ns/op
# Warmup Iteration   4: 60515.234 ns/op
# Warmup Iteration   5: 60723.500 ns/op
Iteration   1: 60122.847 ns/op
Iteration   2: 60960.246 ns/op
Iteration   3: 59964.138 ns/op
Iteration   4: 60745.809 ns/op
Iteration   5: 61163.200 ns/op

# Run progress: 38.67% complete, ETA 01:16:50
# Fork: 5 of 5
# Warmup Iteration   1: 66624.810 ns/op
# Warmup Iteration   2: 60551.080 ns/op
# Warmup Iteration   3: 59882.968 ns/op
# Warmup Iteration   4: 60078.183 ns/op
# Warmup Iteration   5: 60740.096 ns/op
Iteration   1: 60931.973 ns/op
Iteration   2: 60191.101 ns/op
Iteration   3: 59936.496 ns/op
Iteration   4: 62851.305 ns/op
Iteration   5: 58044.661 ns/op


Result "org.sample.ECDSABenchmark.benchmarkKeyGeneration":
  60841.443 ±(99.9%) 787.460 ns/op [Average]
  (min, avg, max) = (58044.661, 60841.443, 63003.308), stdev = 1051.236
  CI (99.9%): [60053.983, 61628.902] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkSigning

# Run progress: 40.00% complete, ETA 01:15:10
# Fork: 1 of 5
# Warmup Iteration   1: 267904.738 ns/op
# Warmup Iteration   2: 254869.333 ns/op
# Warmup Iteration   3: 259148.661 ns/op
# Warmup Iteration   4: 258027.230 ns/op
# Warmup Iteration   5: 264534.871 ns/op
Iteration   1: 257561.201 ns/op
Iteration   2: 251493.397 ns/op
Iteration   3: 252623.426 ns/op
Iteration   4: 249926.102 ns/op
Iteration   5: 250784.145 ns/op

# Run progress: 41.33% complete, ETA 01:13:29
# Fork: 2 of 5
# Warmup Iteration   1: 260068.488 ns/op
# Warmup Iteration   2: 249863.785 ns/op
# Warmup Iteration   3: 252066.137 ns/op
# Warmup Iteration   4: 277786.041 ns/op
# Warmup Iteration   5: 289853.330 ns/op
Iteration   1: 283061.670 ns/op
Iteration   2: 289573.468 ns/op
Iteration   3: 289944.476 ns/op
Iteration   4: 282243.918 ns/op
Iteration   5: 259511.671 ns/op

# Run progress: 42.67% complete, ETA 01:11:49
# Fork: 3 of 5
# Warmup Iteration   1: 262381.402 ns/op
# Warmup Iteration   2: 251777.460 ns/op
# Warmup Iteration   3: 251441.114 ns/op
# Warmup Iteration   4: 250322.345 ns/op
# Warmup Iteration   5: 253230.151 ns/op
Iteration   1: 251898.481 ns/op
Iteration   2: 249723.769 ns/op
Iteration   3: 250178.617 ns/op
Iteration   4: 250361.051 ns/op
Iteration   5: 250921.515 ns/op

# Run progress: 44.00% complete, ETA 01:10:09
# Fork: 4 of 5
# Warmup Iteration   1: 265994.110 ns/op
# Warmup Iteration   2: 251969.997 ns/op
# Warmup Iteration   3: 251350.098 ns/op
# Warmup Iteration   4: 251357.422 ns/op
# Warmup Iteration   5: 251570.750 ns/op
Iteration   1: 252160.530 ns/op
Iteration   2: 251817.893 ns/op
Iteration   3: 251584.883 ns/op
Iteration   4: 251485.169 ns/op
Iteration   5: 251117.767 ns/op

# Run progress: 45.33% complete, ETA 01:08:29
# Fork: 5 of 5
# Warmup Iteration   1: 262684.440 ns/op
# Warmup Iteration   2: 256839.175 ns/op
# Warmup Iteration   3: 257654.885 ns/op
# Warmup Iteration   4: 252243.415 ns/op
# Warmup Iteration   5: 251664.062 ns/op
Iteration   1: 251011.622 ns/op
Iteration   2: 253532.947 ns/op
Iteration   3: 252534.389 ns/op
Iteration   4: 250815.624 ns/op
Iteration   5: 252552.140 ns/op


Result "org.sample.ECDSABenchmark.benchmarkSigning":
  257536.795 ±(99.9%) 9763.690 ns/op [Average]
  (min, avg, max) = (249723.769, 257536.795, 289944.476), stdev = 13034.247
  CI (99.9%): [247773.105, 267300.485] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkVerification

# Run progress: 46.67% complete, ETA 01:06:48
# Fork: 1 of 5
# Warmup Iteration   1: 444613.771 ns/op
# Warmup Iteration   2: 426078.463 ns/op
# Warmup Iteration   3: 426244.641 ns/op
# Warmup Iteration   4: 426329.193 ns/op
# Warmup Iteration   5: 428570.763 ns/op
Iteration   1: 426912.943 ns/op
Iteration   2: 424574.775 ns/op
Iteration   3: 424674.661 ns/op
Iteration   4: 424285.484 ns/op
Iteration   5: 426152.091 ns/op

# Run progress: 48.00% complete, ETA 01:05:08
# Fork: 2 of 5
# Warmup Iteration   1: 482218.133 ns/op
# Warmup Iteration   2: 438853.003 ns/op
# Warmup Iteration   3: 436590.957 ns/op
# Warmup Iteration   4: 435174.048 ns/op
# Warmup Iteration   5: 438255.272 ns/op
Iteration   1: 446348.779 ns/op
Iteration   2: 446659.764 ns/op
Iteration   3: 435934.276 ns/op
Iteration   4: 435433.414 ns/op
Iteration   5: 433843.582 ns/op

# Run progress: 49.33% complete, ETA 01:03:28
# Fork: 3 of 5
